Sb03g031640,GRMZM2G028568,GRMZM2G144028
Sb01g035560,GRMZM2G075502,GRMZM2G121360
Sb02g028050,GRMZM2G069651,GRMZM2G112165
Sb04g030860,GRMZM2G317738,GRMZM2G125320
Sb04g005710,GRMZM2G069095,GRMZM2G104419
Sb04g027280,GRMZM2G045883,GRMZM2G008691
Sb03g032180,GRMZM2G126853,GRMZM2G032484
Sb04g027930,GRMZM2G036092,GRMZM2G042101
Sb07g021140,GRMZM2G166687,GRMZM2G060319
Sb09g028100,GRMZM2G085849,GRMZM2G027546
Sb01g035340,GRMZM2G467072,GRMZM2G058470
Sb01g044090,GRMZM2G159632,GRMZM2G342907
Sb02g030760,GRMZM2G132032,GRMZM2G073882
Sb08g018640,GRMZM2G376727,GRMZM2G067476
Sb03g039120,AC214448.3_FG007,GRMZM2G179985
Sb02g036530,GRMZM2G434301,GRMZM2G402804
Sb03g006280,GRMZM2G085713,GRMZM2G010422
Sb03g009870,GRMZM2G172956,GRMZM2G044128
Sb07g025950,AC194272.3_FG003,GRMZM2G325580
Sb09g002020,GRMZM2G024533,GRMZM2G173763
Sb01g038590,GRMZM2G107731,GRMZM2G015730
Sb04g030800,GRMZM2G108829,GRMZM2G178822
Sb07g022965,GRMZM2G478417,GRMZM2G157722
Sb02g025720,GRMZM2G116614,GRMZM2G005954
Sb06g030310,GRMZM2G352359,GRMZM2G128549
Sb07g000590,GRMZM2G040296,GRMZM2G059179
Sb07g021520,GRMZM2G067067,GRMZM2G005251
Sb04g036170,GRMZM2G180419,GRMZM2G043921
Sb03g038830,GRMZM2G014720,GRMZM2G046418
Sb07g021080,GRMZM2G058783,GRMZM2G117811
Sb03g011400,GRMZM2G130366,GRMZM2G005980
Sb03g043920,GRMZM2G038512,GRMZM2G013481
Sb04g007950,GRMZM2G177781,GRMZM2G162992
Sb01g038410,AC208201.3_FG002,GRMZM2G465287
Sb06g011790,GRMZM2G073931,GRMZM5G830436
Sb06g028170,GRMZM2G049487,GRMZM2G031586
Sb09g027610,GRMZM2G017157,GRMZM2G456487
Sb04g031740,GRMZM2G401436,GRMZM2G134023
Sb06g011760,AC202435.3_FG001,GRMZM2G085892
Sb02g038270,GRMZM2G432738,GRMZM2G040230
Sb01g018990,GRMZM2G380668,GRMZM2G341036
Sb06g027940,GRMZM2G102000,GRMZM2G156145
Sb03g025190,GRMZM2G046681,GRMZM2G088196
Sb03g006130,GRMZM2G030784,GRMZM2G018177
Sb01g012150,GRMZM2G176235,GRMZM2G033489
Sb01g019130,GRMZM2G153233,GRMZM2G159399
Sb01g029020,GRMZM5G813892,GRMZM2G034110
Sb04g004320,GRMZM2G390350,GRMZM2G101920
Sb07g023960,GRMZM2G086123,GRMZM2G177052
Sb03g036160,GRMZM5G817173,GRMZM2G024476
Sb02g007040,GRMZM2G096604,GRMZM2G102985
Sb06g017025,GRMZM2G057006,GRMZM2G072513
Sb03g011310,GRMZM2G162369,GRMZM2G157007
Sb02g006770,GRMZM2G472052,GRMZM2G063643
Sb02g037790,GRMZM2G096454,GRMZM2G403800
Sb09g022960,GRMZM2G088361,GRMZM2G030673
Sb08g002870,GRMZM2G004445,GRMZM2G025250
Sb02g023170,GRMZM2G166692,GRMZM2G051752
Sb06g024760,GRMZM2G162319,GRMZM2G091579
Sb01g008450,GRMZM2G149952,GRMZM2G051270
Sb04g036650,GRMZM2G150862,GRMZM2G023899
Sb04g037420,GRMZM2G342327,GRMZM2G123544
Sb04g037130,GRMZM2G017869,GRMZM2G384780
Sb04g036400,GRMZM2G536644,GRMZM2G054076
Sb09g002240,GRMZM2G381086,GRMZM2G351937
Sb01g037470,GRMZM2G092442,AC233955.1_FG008
Sb03g030820,GRMZM2G034526,GRMZM2G160990
Sb03g037870,GRMZM2G133213,GRMZM2G076206
Sb03g005950,GRMZM2G462481,GRMZM2G421690
Sb02g023280,AC212754.3_FG004,GRMZM2G139994
Sb01g050280,GRMZM2G114459,GRMZM5G828278
Sb02g023570,GRMZM2G113796,GRMZM5G869299
Sb01g042350,GRMZM2G344388,GRMZM2G392737
Sb07g025260,GRMZM2G477872,GRMZM2G451792
Sb03g040770,GRMZM2G434098,GRMZM2G085035
Sb01g019290,GRMZM2G081515,GRMZM2G034385
Sb03g032610,GRMZM2G037379,GRMZM2G102404
Sb01g005780,GRMZM2G028926,GRMZM2G320506
Sb03g025730,GRMZM2G061723,GRMZM2G054900
Sb01g046510,GRMZM2G397339,GRMZM2G175463
Sb03g040970,GRMZM5G858197,GRMZM2G438293
Sb04g006840,GRMZM2G117823,GRMZM5G876160
Sb04g030020,GRMZM2G123796,GRMZM2G042195
Sb06g027640,GRMZM5G851032,GRMZM2G120940
Sb03g008050,GRMZM2G089365,GRMZM2G069195
Sb01g044140,GRMZM2G003506,GRMZM2G050159
Sb01g003910,GRMZM2G127404,GRMZM2G003014
Sb01g010710,GRMZM2G062045,GRMZM2G157147
Sb01g007490,GRMZM2G166999,GRMZM2G089696
Sb09g020230,AC209636.2_FG003,GRMZM2G082959
Sb03g027910,GRMZM2G422205,GRMZM2G039889
Sb02g033540,GRMZM2G369340,GRMZM2G034410
Sb01g012070,GRMZM2G149028,GRMZM2G129150
Sb08g018190,GRMZM2G044354,GRMZM2G122443
Sb06g024680,GRMZM2G132756,GRMZM2G402027
Sb03g012550,GRMZM2G051256,GRMZM2G051528
Sb03g035080,GRMZM2G394973,GRMZM2G082490
Sb01g008290,GRMZM2G377131,GRMZM2G014441
Sb03g004420,GRMZM2G066440,GRMZM5G893381
Sb01g000490,GRMZM2G167031,GRMZM2G022258
Sb10g006630,GRMZM2G055982,GRMZM2G373435
Sb01g043170,GRMZM2G107854,GRMZM2G113506
Sb01g031880,GRMZM2G074138,GRMZM2G113866
Sb01g006940,AC234157.1_FG003,GRMZM2G052467
Sb01g041330,GRMZM2G165926,GRMZM2G147671
Sb03g026350,GRMZM2G108144,GRMZM2G155021
Sb02g029260,GRMZM2G074386,GRMZM5G817037
Sb02g025920,GRMZM2G038636,GRMZM5G820822
Sb03g043810,GRMZM2G087032,GRMZM2G107491
Sb01g028570,GRMZM2G070943,AC203571.3_FG001
Sb07g027240,GRMZM2G107106,GRMZM2G134770
Sb01g036720,GRMZM2G009690,GRMZM2G022398
Sb01g007550,GRMZM2G074317,GRMZM5G858887
Sb03g034850,GRMZM2G056120,GRMZM5G874163
Sb07g024930,GRMZM2G043353,GRMZM2G173903
Sb01g043370,GRMZM2G064841,GRMZM2G178254
Sb01g015470,GRMZM2G027451,GRMZM2G087233
Sb01g045820,GRMZM2G162776,GRMZM2G178859
Sb01g005260,GRMZM2G074404,GRMZM2G099449
Sb09g026060,GRMZM2G043943,GRMZM2G071339
Sb03g029990,GRMZM2G160971,GRMZM2G151542
Sb02g037320,GRMZM2G121543,AC235011.1_FG012
Sb07g021470,GRMZM2G438438,GRMZM2G353734
Sb06g028225,GRMZM2G093632,GRMZM2G031477
Sb03g004510,GRMZM2G150962,GRMZM2G162928
Sb04g033110,GRMZM2G094768,GRMZM2G145221
Sb02g010210,GRMZM2G034288,GRMZM2G025924
Sb06g032000,GRMZM2G071034,GRMZM2G124476
Sb03g025840,GRMZM5G862956,GRMZM2G096655
Sb01g020010,GRMZM2G416120,GRMZM2G458208
Sb04g024600,GRMZM2G091160,GRMZM2G020653
Sb02g036810,GRMZM2G081949,GRMZM2G099239
Sb01g006020,GRMZM2G115516,GRMZM2G089361
Sb03g000760,GRMZM2G093079,GRMZM2G432644
Sb01g041580,GRMZM2G152390,GRMZM2G178279
Sb03g046040,GRMZM2G156019,GRMZM2G319187
Sb10g001470,GRMZM2G352108,GRMZM2G172734
Sb02g006880,GRMZM2G107065,GRMZM2G333095
Sb02g026900,GRMZM2G075837,GRMZM5G865234
Sb07g004130,GRMZM2G171236,GRMZM2G059556
Sb03g037880,GRMZM2G133189,GRMZM2G379128
Sb03g007950,GRMZM2G336929,AC216871.3_FG001
Sb01g008920,GRMZM2G164088,GRMZM2G065669
Sb02g037250,GRMZM2G384327,GRMZM2G099105
Sb03g041010,GRMZM2G149662,GRMZM2G046098
Sb07g024970,GRMZM2G037650,GRMZM2G138427
Sb01g010020,GRMZM2G423423,GRMZM2G425236
Sb01g040210,GRMZM2G151564,GRMZM2G438722
Sb04g023730,GRMZM2G040481,AC210616.4_FG005
Sb03g041880,GRMZM2G034639,GRMZM2G340319
Sb01g041030,GRMZM2G170336,GRMZM2G017678
Sb10g029790,GRMZM2G053500,GRMZM2G048644
Sb02g037470,GRMZM2G060762,GRMZM2G121458
Sb03g027000,GRMZM2G142334,GRMZM2G164185
Sb04g030910,GRMZM2G113995,GRMZM2G106795
Sb04g035560,GRMZM2G122231,GRMZM2G312521
Sb03g004730,GRMZM5G832229,GRMZM2G380414
Sb06g027340,GRMZM2G180190,GRMZM2G098813
Sb01g004550,GRMZM2G029396,GRMZM2G108225
Sb06g021400,GRMZM2G178005,GRMZM2G070255
Sb02g029040,GRMZM2G144275,GRMZM2G083504
Sb02g001450,GRMZM2G043383,GRMZM2G070542
Sb06g030670,GRMZM2G174784,GRMZM2G076602
Sb03g045420,GRMZM2G068913,GRMZM2G467069
Sb06g023630,GRMZM2G122937,GRMZM2G116538
Sb01g004790,GRMZM2G049912,GRMZM5G883250
Sb02g038960,GRMZM2G038303,GRMZM2G040349
Sb01g041100,GRMZM2G035552,GRMZM2G090842
Sb06g019160,GRMZM2G325131,GRMZM2G171383
Sb01g003290,GRMZM2G061662,GRMZM2G002765
Sb09g026080,GRMZM2G432801,GRMZM2G058745
Sb01g037050,GRMZM2G174284,GRMZM2G056099
Sb01g010440,GRMZM2G100650,GRMZM2G011098
Sb01g020830,GRMZM2G130904,GRMZM2G134947
Sb03g006180,GRMZM2G100881,GRMZM2G085254
Sb01g028500,GRMZM2G049422,GRMZM2G138429
Sb09g002010,GRMZM2G122537,GRMZM2G140083
Sb03g035130,GRMZM2G162175,GRMZM2G136250
Sb08g018240,GRMZM2G110572,GRMZM2G140537
Sb03g031480,GRMZM2G106028,GRMZM2G030284
Sb09g027040,GRMZM2G094884,GRMZM2G387569
Sb01g035970,GRMZM2G043493,GRMZM2G124567
Sb07g005020,GRMZM5G812144,GRMZM2G149153
Sb04g008870,GRMZM2G114675,GRMZM2G174673
Sb06g031410,GRMZM2G029113,GRMZM2G101179
Sb06g021500,GRMZM2G703002,AC233888.1_FG001
Sb03g032290,GRMZM2G162145,GRMZM2G436835
Sb03g028880,GRMZM2G026930,GRMZM2G013726
Sb10g029780,GRMZM2G116243,GRMZM2G048561
Sb04g022930,GRMZM2G121525,GRMZM2G094871
Sb03g009700,GRMZM2G091119,GRMZM2G088231
Sb04g023870,GRMZM2G075637,GRMZM2G157019
Sb01g017380,GRMZM2G082484,GRMZM2G030169
Sb03g035000,GRMZM2G022679,GRMZM2G031724
Sb01g047510,GRMZM2G149257,GRMZM2G089421
Sb01g004480,GRMZM2G062289,GRMZM2G139805
Sb01g046840,GRMZM2G703490,GRMZM2G063060
Sb03g012570,GRMZM2G070494,GRMZM2G051522
Sb07g003820,GRMZM5G806309,GRMZM2G055520
Sb09g024930,GRMZM2G305115,GRMZM2G074648
Sb03g038020,GRMZM2G003385,GRMZM5G833389
Sb10g025450,GRMZM2G050912,GRMZM2G134863
Sb02g039760,GRMZM2G116620,GRMZM5G879278
Sb10g024900,GRMZM2G028604,GRMZM2G018280
Sb02g034320,GRMZM2G134545,GRMZM2G064655
Sb01g036870,GRMZM2G030272,GRMZM2G060918
Sb02g028420,GRMZM2G307588,GRMZM2G126018
Sb01g042030,GRMZM2G126808,GRMZM2G105834
Sb04g033680,GRMZM2G170049,GRMZM2G496770
Sb04g006180,GRMZM2G080111,GRMZM2G336766
Sb04g029510,GRMZM2G029186,GRMZM2G092085
Sb07g019940,AC217910.3_FG006,GRMZM2G079768
Sb06g028510,GRMZM2G007791,GRMZM2G354867
Sb01g007850,GRMZM2G057935,GRMZM2G129889
Sb01g038850,GRMZM2G109967,GRMZM2G124313
Sb03g000700,GRMZM2G123558,GRMZM2G007151
Sb10g025050,GRMZM2G145104,GRMZM2G051792
Sb01g039670,GRMZM2G049159,GRMZM2G098784
Sb02g005910,GRMZM2G457534,GRMZM2G105652
Sb04g037460,GRMZM2G364172,GRMZM2G042380
Sb03g042970,GRMZM2G045433,GRMZM2G091397
Sb02g034250,GRMZM2G325783,GRMZM2G154904
Sb06g024590,GRMZM2G121275,GRMZM2G125023
Sb05g004840,GRMZM2G060727,GRMZM2G472770
Sb10g029305,GRMZM2G347721,GRMZM2G082874
Sb01g038100,GRMZM2G417082,GRMZM2G007475
Sb02g027290,GRMZM2G515874,GRMZM2G040933
Sb01g035350,GRMZM2G169890,GRMZM2G058522
Sb03g028760,GRMZM2G105604,GRMZM2G000739
Sb01g011550,GRMZM2G080764,AC213463.3_FG002
Sb09g028440,GRMZM2G031053,GRMZM2G098129
Sb02g041250,GRMZM2G161544,GRMZM2G077500
Sb07g021170,GRMZM2G107276,GRMZM2G526668
Sb04g021970,AC233850.1_FG005,GRMZM2G041701
Sb07g021610,GRMZM2G047019,GRMZM2G123328
Sb06g013850,GRMZM2G143205,GRMZM2G152661
Sb03g039130,GRMZM2G124016,GRMZM2G336557
Sb02g023610,GRMZM2G019898,GRMZM2G527891
Sb03g030750,GRMZM2G058518,GRMZM2G134717
Sb03g012930,GRMZM2G106462,GRMZM2G111926
Sb01g003230,GRMZM2G148370,GRMZM2G003108
Sb03g010800,GRMZM2G002830,GRMZM2G007057
Sb01g035750,GRMZM2G158662,GRMZM2G043955
Sb03g028360,GRMZM2G011347,GRMZM2G074540
Sb07g022970,GRMZM2G386460,GRMZM2G054139
Sb03g008860,GRMZM2G062650,GRMZM2G154182
Sb06g031230,GRMZM2G067463,GRMZM2G104260
Sb03g034660,GRMZM2G167283,GRMZM2G087117
Sb01g044240,GRMZM2G032423,GRMZM2G540491
Sb06g017380,GRMZM2G380361,GRMZM2G139419
Sb06g030320,AC199343.3_FG013,GRMZM2G114434
Sb04g037230,GRMZM2G056582,GRMZM2G479804
Sb01g018290,GRMZM2G082529,GRMZM2G168855
Sb01g028920,GRMZM2G163189,GRMZM2G125513
Sb07g025070,GRMZM2G122064,GRMZM2G096622
Sb03g038010,GRMZM2G344630,GRMZM2G433137
Sb04g007920,GRMZM2G362312,GRMZM2G154505
Sb06g021480,GRMZM2G095598,AC233888.1_FG002
Sb09g023730,GRMZM2G037343,GRMZM2G138817
Sb01g012380,GRMZM2G046101,GRMZM5G858249
Sb02g039230,GRMZM2G072205,GRMZM2G124335
Sb03g030635,GRMZM2G031882,GRMZM2G133972
Sb07g006070,GRMZM2G029552,GRMZM2G111228
Sb03g025180,GRMZM2G017086,GRMZM2G028733
Sb04g027600,GRMZM2G061941,GRMZM2G322950
Sb03g037570,GRMZM2G167276,AC203294.3_FG001
Sb03g041430,GRMZM2G060255,GRMZM2G114057
Sb01g043610,GRMZM2G007130,GRMZM2G006721
Sb02g036250,GRMZM2G031323,GRMZM2G166337
Sb01g042210,GRMZM2G180044,GRMZM2G091742
Sb04g005180,GRMZM2G111136,GRMZM2G168229
Sb06g022930,GRMZM2G008792,GRMZM2G122340
Sb01g040850,GRMZM2G377647,GRMZM2G172652
Sb10g025010,GRMZM2G141288,GRMZM2G380494
Sb01g003120,GRMZM2G368886,GRMZM2G445169
Sb09g025990,GRMZM2G168721,GRMZM5G802899
Sb07g022880,GRMZM2G113191,GRMZM2G087259
Sb07g025470,GRMZM2G069594,AC190609.3_FG002
Sb06g020570,GRMZM2G063163,GRMZM2G039600
Sb01g018855,GRMZM2G162758,GRMZM2G013082
Sb04g030900,GRMZM2G114081,GRMZM2G106931
Sb04g006540,GRMZM2G129987,GRMZM2G075485
Sb06g023880,GRMZM5G860469,GRMZM2G054418
Sb03g031290,GRMZM2G150160,GRMZM2G076827
Sb01g018180,GRMZM2G449133,GRMZM2G032910
Sb06g020750,GRMZM2G021619,GRMZM2G167280
Sb06g024210,GRMZM2G152194,GRMZM2G134523
Sb01g038320,GRMZM2G135456,AC206223.3_FG008
Sb01g012770,AC186519.4_FG002,GRMZM2G332390
Sb03g041420,GRMZM2G150859,GRMZM2G114046
Sb06g023950,GRMZM2G104166,GRMZM2G065176
Sb08g018210,GRMZM2G174263,GRMZM2G439908
Sb03g031830,GRMZM2G122223,GRMZM5G843389
Sb02g027270,GRMZM2G355316,GRMZM2G081529
Sb03g038510,GRMZM2G148087,GRMZM2G036703
Sb02g030950,GRMZM2G109448,GRMZM5G873455
Sb06g020680,GRMZM2G112072,GRMZM2G047143
Sb03g025500,GRMZM2G090619,GRMZM2G018901
Sb04g029750,GRMZM5G837108,GRMZM2G135186
Sb01g003340,GRMZM2G155525,GRMZM2G160064
Sb03g041530,GRMZM2G019266,GRMZM2G005236
Sb01g042360,GRMZM2G025123,GRMZM2G093254
Sb07g025270,GRMZM2G175280,GRMZM2G149150
Sb01g012960,GRMZM2G165747,GRMZM2G112149
Sb03g009260,GRMZM2G328893,GRMZM2G082185
Sb03g025720,GRMZM2G061990,GRMZM2G700683
Sb03g003080,GRMZM2G413857,GRMZM2G161787
Sb01g007660,GRMZM2G123732,GRMZM2G086497
Sb06g023313,GRMZM2G026926,GRMZM2G040664
Sb01g003900,GRMZM2G004459,GRMZM2G071071
Sb01g005570,GRMZM2G120674,GRMZM2G007260
Sb02g027510,GRMZM2G133053,GRMZM2G403276
Sb09g023210,GRMZM5G869403,GRMZM2G065566
Sb01g010700,GRMZM2G469224,GRMZM2G090435
Sb04g030890,GRMZM2G054201,GRMZM2G121075
Sb01g034020,GRMZM5G815369,GRMZM2G098079
Sb02g026010,GRMZM2G095763,GRMZM2G061885
Sb03g028220,GRMZM2G148555,GRMZM2G374065
Sb03g006020,GRMZM2G132009,GRMZM2G519073
Sb01g011140,GRMZM2G180982,GRMZM2G300944
Sb08g019100,GRMZM2G077024,GRMZM2G010628
Sb01g044690,GRMZM2G117491,GRMZM2G095822
Sb04g024510,GRMZM2G168176,GRMZM2G160458
Sb06g014420,GRMZM5G848945,GRMZM2G137451
Sb01g040190,GRMZM2G161452,GRMZM2G083402
Sb06g023320,GRMZM2G027049,GRMZM2G017815
Sb06g016440,GRMZM2G044681,GRMZM2G050647
Sb03g041110,GRMZM2G110922,GRMZM2G334791
Sb09g027370,GRMZM2G114513,GRMZM2G170760
Sb01g009530,AC211401.4_FG003,GRMZM2G122863
Sb08g018670,GRMZM2G138419,GRMZM2G066650
Sb06g027740,GRMZM5G868433,GRMZM2G094051
Sb01g008840,GRMZM2G131525,GRMZM2G100478
Sb01g004170,GRMZM2G402675,AC210013.4_FG016
Sb02g032140,GRMZM2G066528,GRMZM2G162284
Sb09g021265,GRMZM2G077789,GRMZM2G431156
Sb03g027340,GRMZM2G318530,GRMZM2G310158
Sb01g012690,GRMZM2G039373,GRMZM2G010146
Sb03g026290,GRMZM2G052088,GRMZM2G372709
Sb01g007460,GRMZM2G147596,GRMZM2G089556
Sb09g022430,GRMZM2G059637,GRMZM2G166176
Sb04g006900,GRMZM2G497531,GRMZM2G180967
Sb01g038840,GRMZM2G154883,GRMZM2G095868
Sb02g034736,GRMZM2G127510,GRMZM2G169615
Sb02g036800,GRMZM2G380732,GRMZM2G099270
Sb01g048690,GRMZM2G371137,GRMZM2G172014
Sb04g029710,GRMZM2G045544,GRMZM2G411032
Sb03g027870,GRMZM2G094490,GRMZM2G361066
Sb02g030170,GRMZM2G043600,GRMZM2G037910
Sb06g027880,GRMZM2G040920,GRMZM2G057567
Sb03g045660,GRMZM2G082387,GRMZM2G129154
Sb01g011920,GRMZM2G003607,GRMZM2G161222
Sb03g038550,GRMZM2G132169,GRMZM2G336337
Sb09g001130,GRMZM2G089575,GRMZM2G047219
Sb01g008930,GRMZM2G164085,GRMZM2G065822
Sb04g006670,GRMZM2G142693,GRMZM2G155822
Sb03g045880,GRMZM5G833593,GRMZM2G101053
Sb02g006400,GRMZM2G104559,GRMZM2G018046
Sb01g010030,GRMZM2G047055,GRMZM2G152328
Sb04g007300,GRMZM2G038374,GRMZM2G022987
Sb01g005750,GRMZM2G121228,GRMZM2G027351
Sb02g033780,GRMZM2G069928,GRMZM2G158191
Sb04g028710,GRMZM2G385999,GRMZM2G014854
Sb01g037220,GRMZM2G018941,GRMZM2G051613
Sb01g037590,GRMZM2G475971,GRMZM2G451769
Sb01g040200,GRMZM2G151521,GRMZM2G083427
Sb02g037260,GRMZM2G083243,GRMZM2G099167
Sb01g034240,GRMZM2G063498,GRMZM2G159956
Sb07g026250,GRMZM2G114904,GRMZM2G100457
Sb04g025380,GRMZM2G128902,GRMZM2G138632
Sb01g045010,GRMZM2G153393,GRMZM2G330907
Sb06g024153,GRMZM2G020826,GRMZM2G427106
Sb02g042260,GRMZM2G333433,GRMZM5G873277
Sb02g038200,GRMZM2G309970,GRMZM2G378121
Sb03g027010,GRMZM2G034943,GRMZM2G015735
Sb01g003970,GRMZM2G417217,AC210013.4_FG008
Sb02g037440,GRMZM2G363552,GRMZM2G039538
Sb09g023110,AC209257.4_FG003,GRMZM2G009968
Sb10g005910,GRMZM2G455243,GRMZM2G168249
Sb06g022590,GRMZM2G064631,GRMZM2G018760
Sb04g034520,GRMZM2G052422,GRMZM2G126732
Sb01g028720,GRMZM2G155422,GRMZM2G035928
Sb04g035685,GRMZM2G017868,GRMZM2G032163
Sb02g034060,GRMZM2G163095,GRMZM2G180272
Sb03g046360,GRMZM2G138342,GRMZM2G059073
Sb02g027860,GRMZM2G069528,GRMZM2G171108
Sb01g036260,GRMZM2G100288,GRMZM2G006080
Sb01g037040,GRMZM2G318652,GRMZM2G129815
Sb01g041130,GRMZM2G110913,GRMZM2G150594
Sb01g037820,GRMZM2G427418,GRMZM2G006714
Sb03g010100,GRMZM2G151671,GRMZM2G060190
Sb01g045120,GRMZM2G000427,AC191071.3_FG001
Sb02g041660,GRMZM2G136578,GRMZM2G159041
Sb03g037370,GRMZM2G438551,GRMZM2G012160
Sb04g022943,GRMZM2G087040,GRMZM2G139740
Sb10g002740,GRMZM2G106276,GRMZM2G068672
Sb04g027130,GRMZM2G139855,GRMZM2G447195
Sb03g003790,GRMZM2G132519,GRMZM2G127312
Sb09g022300,GRMZM2G053610,GRMZM2G086943
Sb06g019620,GRMZM2G330430,GRMZM2G173878
Sb06g032500,GRMZM2G078274,GRMZM2G475882
Sb06g016260,AC233887.1_FG005,GRMZM5G858653
Sb06g028090,GRMZM2G068967,GRMZM2G438202
Sb03g039250,GRMZM5G804618,AC205250.3_FG004
Sb01g020220,GRMZM5G809265,GRMZM2G075051
Sb04g032430,AC209208.3_FG002,GRMZM2G392975
Sb03g044160,GRMZM5G878561,GRMZM2G371033
Sb04g008840,GRMZM2G158313,GRMZM2G052102
Sb10g025190,GRMZM2G092975,GRMZM2G045371
Sb01g029520,GRMZM2G089248,GRMZM2G409245
Sb03g042010,GRMZM2G155464,GRMZM2G050803
Sb01g046870,GRMZM2G401342,AC149475.2_FG005
Sb06g022660,GRMZM2G048295,AC206901.3_FG005
Sb03g009730,GRMZM2G122656,GRMZM2G154896
Sb03g027600,GRMZM2G020140,GRMZM2G075528
Sb04g026210,GRMZM2G027697,GRMZM2G043792
Sb03g039920,GRMZM2G181484,GRMZM2G169259
Sb01g001440,GRMZM2G016892,GRMZM2G034122
Sb03g036030,GRMZM2G038953,GRMZM2G079257
Sb01g011150,GRMZM2G180979,GRMZM5G845366
Sb01g032180,GRMZM2G030955,GRMZM2G162949
Sb04g026710,GRMZM2G153332,GRMZM2G074436
Sb04g024040,GRMZM2G459166,GRMZM2G095397
