chr	start	stop	name	pct_at	pct_gc	num_A	num_C	num_G	num_T	num_N	num_oth	seq_len
Mt	60823	63558	GRMZM5G889299	0.606581	0.393419	726	568	508	933	0	0	2735
Mt	76131	84975	GRMZM5G804358	0.501809	0.498191	2200	2286	2120	2238	0	0	8844
Mt	71055	71393	GRMZM5G834908	0.568047	0.431953	90	82	64	102	0	0	338
Mt	73894	74196	GRMZM5G897626	0.536424	0.463576	91	78	62	71	0	0	302
Mt	98037	98788	GRMZM5G800457	0.592543	0.407457	228	135	171	217	0	0	751
Mt	99692	100006	GRMZM5G858045	0.592357	0.407643	79	56	72	107	0	0	314
Mt	108118	108486	GRMZM5G813949	0.529891	0.470109	125	57	116	70	0	0	368
Mt	108348	108692	GRMZM5G819258	0.581395	0.418605	105	53	91	95	0	0	344
Mt	101543	102115	GRMZM5G839924	0.580420	0.419580	166	112	128	166	0	0	572
Mt	105916	106266	GRMZM5G871174	0.568571	0.431429	94	86	65	105	0	0	350
Mt	114491	114967	GRMZM5G898772	0.510504	0.489496	137	109	124	106	0	0	476
Mt	129508	132559	GRMZM5G863003	0.596198	0.403802	893	668	564	926	0	0	3051
Mt	120928	121512	GRMZM5G897615	0.488014	0.511986	149	146	153	136	0	0	584
Mt	138030	138329	GRMZM5G845024	0.598662	0.401338	82	72	48	97	0	0	299
Mt	138552	139211	GRMZM5G884912	0.570561	0.429439	181	154	129	195	0	0	659
Mt	142489	142848	GRMZM5G890747	0.623955	0.376045	118	62	73	106	0	0	359
Mt	157639	158259	GRMZM5G866979	0.593548	0.406452	172	142	110	196	0	0	620
Mt	155607	155939	GRMZM5G875789	0.602410	0.397590	91	53	79	109	0	0	332
Mt	168896	169216	GRMZM5G844605	0.546875	0.453125	121	46	99	54	0	0	320
Mt	160500	164660	GRMZM5G861791	0.526202	0.473798	1020	1059	912	1169	0	0	4160
Mt	165954	166301	GRMZM5G871099	0.530259	0.469741	100	80	83	84	0	0	347
Mt	171675	172013	GRMZM5G817985	0.568047	0.431953	90	82	64	102	0	0	338
Mt	174514	174816	GRMZM5G844657	0.536424	0.463576	91	78	62	71	0	0	302
Mt	185995	186381	GRMZM5G814594	0.572539	0.427461	95	74	91	126	0	0	386
Mt	191868	192350	GRMZM5G822401	0.516598	0.483402	124	120	113	125	0	0	482
Mt	199268	199585	GRMZM5G837015	0.561514	0.438486	79	85	54	99	0	0	317
Mt	204826	205143	GRMZM5G825253	0.419558	0.580442	64	81	103	69	0	0	317
Mt	204631	207080	GRMZM5G834128	0.530829	0.469171	544	542	607	756	0	0	2449
Mt	201992	202315	GRMZM5G834207	0.578947	0.421053	84	57	79	103	0	0	323
Mt	208260	208960	GRMZM5G841635	0.578571	0.421429	205	126	169	200	0	0	700
Mt	200740	201462	GRMZM5G898647	0.573407	0.426593	174	172	136	240	0	0	722
Mt	214705	215019	GRMZM5G850100	0.535032	0.464968	82	55	91	86	0	0	314
Mt	226252	226644	GRMZM5G845230	0.556122	0.443878	116	84	90	102	0	0	392
Mt	222180	222596	GRMZM5G872899	0.639423	0.360577	133	90	60	133	0	0	416
Mt	222800	223195	GRMZM5G873916	0.708861	0.291139	144	67	48	136	0	0	395
Mt	224212	225120	GRMZM5G882520	0.636564	0.363436	280	190	140	298	0	0	908
Mt	232090	233199	GRMZM5G816772	0.573490	0.426510	289	247	226	347	0	0	1109
Mt	233669	234004	GRMZM5G824660	0.528358	0.471642	102	78	80	75	0	0	335
Mt	234410	234775	GRMZM5G834298	0.558904	0.441096	102	93	68	102	0	0	365
Mt	237576	243573	GRMZM5G856027	0.487077	0.512923	1384	1635	1441	1537	0	0	5997
Mt	236901	237476	GRMZM5G866990	0.558261	0.441739	187	131	123	134	0	0	575
Mt	250362	254127	GRMZM5G827309	0.625498	0.374502	1281	621	789	1074	0	0	3765
Mt	254396	255220	GRMZM5G833299	0.644417	0.355583	274	156	137	257	0	0	824
Mt	265987	266409	GRMZM5G834666	0.452607	0.547393	76	115	116	115	0	0	422
Mt	267744	269869	GRMZM5G851769	0.489882	0.510118	450	529	555	591	0	0	2125
Mt	262805	263161	GRMZM5G876913	0.575843	0.424157	133	74	77	72	0	0	356
Mt	262383	262760	GRMZM5G881135	0.559682	0.440318	83	94	72	128	0	0	377
Mt	261339	261950	GRMZM5G889036	0.456628	0.543371	137	169	163	142	0	0	611
Mt	273330	275848	GRMZM5G867512	0.544877	0.455123	740	587	559	632	0	0	2518
Mt	277987	278427	GRMZM5G870438	0.484091	0.515909	113	115	112	100	0	0	440
Mt	271153	271497	GRMZM5G889790	0.569767	0.430233	114	75	73	82	0	0	344
Mt	287308	287709	GRMZM5G828883	0.568579	0.431421	110	84	89	118	0	0	401
Mt	284755	285204	GRMZM5G846068	0.545657	0.454343	117	115	89	128	0	0	449
Mt	280399	282985	GRMZM5G859440	0.542923	0.457077	691	622	560	713	0	0	2586
Mt	288626	289006	GRMZM5G875046	0.521053	0.478947	98	72	110	100	0	0	380
Mt	295309	295626	GRMZM5G881661	0.558360	0.441640	89	64	76	88	0	0	317
Mt	293480	293797	GRMZM5G883882	0.555205	0.444795	100	67	74	76	0	0	317
Mt	307856	308155	GRMZM5G826322	0.464883	0.535117	74	56	104	65	0	0	299
Mt	306308	306649	GRMZM5G834995	0.536657	0.463343	96	82	76	87	0	0	341
Mt	308154	308513	GRMZM5G857320	0.571031	0.428969	101	61	93	104	0	0	359
Mt	313449	313772	GRMZM5G851921	0.547988	0.452012	96	60	86	81	0	0	323
Mt	310905	312071	GRMZM5G884707	0.584906	0.415094	273	238	246	409	0	0	1166
Mt	319612	319962	GRMZM5G887290	0.597143	0.402857	120	65	76	89	0	0	350
Mt	330766	335517	GRMZM5G800101	0.610398	0.389602	1513	897	954	1387	0	0	4751
Mt	336422	336817	GRMZM5G826672	0.577215	0.422785	132	87	80	96	0	0	395
Mt	339778	340134	GRMZM5G842963	0.550562	0.449438	101	92	68	95	0	0	356
Mt	346144	347500	GRMZM5G827951	0.575221	0.424779	378	315	261	402	0	0	1356
Mt	342956	343354	GRMZM5G848448	0.477387	0.522613	102	95	113	88	0	0	398
Mt	347109	347522	GRMZM5G861353	0.525424	0.474576	93	120	76	124	0	0	413
Mt	344812	345432	GRMZM5G889905	0.587097	0.412903	141	152	104	223	0	0	620
Mt	348198	348527	GRMZM5G899892	0.580547	0.419453	71	68	70	120	0	0	329
Mt	356473	356916	GRMZM5G807592	0.586907	0.413093	112	78	105	148	0	0	443
Mt	351308	351712	GRMZM5G844331	0.596535	0.403465	131	85	78	110	0	0	404
Mt	362801	363196	GRMZM5G838554	0.645570	0.354430	93	77	63	162	0	0	395
Mt	360533	361786	GRMZM5G846968	0.664804	0.335196	390	223	197	443	0	0	1253
Mt	369059	369412	GRMZM5G874394	0.572238	0.427762	95	78	73	107	0	0	353
Mt	361926	362249	GRMZM5G874740	0.613003	0.386997	85	69	56	113	0	0	323
Mt	374934	375233	GRMZM5G801746	0.561873	0.438127	101	71	60	67	0	0	299
Mt	376213	376602	GRMZM5G861212	0.498715	0.501285	108	78	117	86	0	0	389
Mt	372869	373192	GRMZM5G878344	0.569659	0.430341	79	65	74	105	0	0	323
Mt	385082	385423	GRMZM5G819109	0.557185	0.442815	81	102	49	109	0	0	341
Mt	389274	389717	GRMZM5G821687	0.548533	0.451467	140	118	82	103	0	0	443
Mt	388670	389071	GRMZM5G822170	0.635910	0.364090	126	83	63	129	0	0	401
Mt	406844	407143	GRMZM5G845496	0.535117	0.464883	91	65	74	69	0	0	299
Mt	411136	411627	GRMZM5G805421	0.494908	0.505092	136	146	102	107	0	0	491
Mt	438522	438929	GRMZM5G845792	0.528256	0.471744	86	102	90	129	0	0	407
Mt	433537	433983	GRMZM5G890451	0.576233	0.423767	136	75	114	121	0	0	446
Mt	448355	448777	GRMZM5G805940	0.566351	0.433649	137	89	94	102	0	0	422
Mt	441569	442509	GRMZM5G884538	0.561702	0.438298	318	216	196	210	0	0	940
Mt	456573	457382	GRMZM5G838963	0.589617	0.410383	260	145	187	217	0	0	809
Mt	468543	468860	GRMZM5G865196	0.529968	0.470032	90	59	90	78	0	0	317
Mt	472551	472940	GRMZM5G822734	0.529563	0.470437	108	93	90	98	0	0	389
Mt	479552	481147	GRMZM5G851130	0.552351	0.447649	434	376	338	447	0	0	1595
Mt	486573	486893	GRMZM5G856189	0.528125	0.471875	71	60	91	98	0	0	320
Mt	487870	488229	GRMZM5G891801	0.607242	0.392758	83	65	76	135	0	0	359
Mt	496996	497811	GRMZM5G821527	0.564417	0.435583	268	165	190	192	0	0	815
Mt	501948	502295	GRMZM5G847102	0.536023	0.463977	110	78	83	76	0	0	347
Mt	504157	504474	GRMZM5G899452	0.523659	0.476341	93	76	75	73	0	0	317
Mt	510533	510886	GRMZM5G804671	0.470255	0.529745	69	110	77	97	0	0	353
Mt	511893	514103	GRMZM5G844030	0.544796	0.455204	605	538	468	599	0	0	2210
Mt	509972	510265	GRMZM5G887911	0.631399	0.368601	109	54	54	76	0	0	293
Mt	525510	526319	GRMZM5G859187	0.589617	0.410383	260	145	187	217	0	0	809
Mt	548915	549247	GRMZM5G834282	0.457831	0.542169	82	81	99	70	0	0	332
Mt	541368	545054	GRMZM5G862955	0.541508	0.458492	987	830	860	1009	0	0	3686
Mt	550607	550972	GRMZM5G893089	0.569863	0.430137	83	52	105	125	0	0	365
Mt	564496	564945	GRMZM5G836544	0.559020	0.440980	119	85	113	132	0	0	449
Mt	564154	564516	GRMZM5G872234	0.555249	0.444751	86	88	73	115	0	0	362
Mt	565002	565664	GRMZM5G897755	0.593656	0.406344	163	133	136	230	0	0	662
10	300325	310784	GRMZM2G040843	0.472607	0.527393	2418	3219	2297	2525	0	0	10459
10	621841	622766	AC195240	0.595676	0.404324	267	172	202	284	0	0	925
10	630476	635224	GRMZM2G109674	0.495366	0.504634	1134	1266	1130	1218	0	0	4748
10	717177	719004	GRMZM2G179143	0.395731	0.604269	369	569	535	354	0	0	1827
10	893875	895612	GRMZM2G135536	0.381117	0.618883	338	554	521	324	0	0	1737
10	1078706	1083642	GRMZM2G066165	0.551053	0.448947	1435	1067	1149	1285	0	0	4936
10	1086964	1088581	GRMZM2G066049	0.364255	0.635745	309	501	527	280	0	0	1617
10	1084002	1085633	GRMZM2G066142	0.358063	0.641937	269	547	500	315	0	0	1631
10	1135013	1145194	GRMZM2G057576	0.583440	0.416560	2627	2088	2153	3313	0	0	10181
10	1149290	1151783	GRMZM2G057525	0.522663	0.477337	654	588	602	649	0	0	2493
10	1146097	1148796	GRMZM2G057557	0.521675	0.478325	769	642	649	639	0	0	2699
10	1152578	1158547	GRMZM2G057441	0.556207	0.443793	1786	1339	1310	1534	0	0	5969
10	1279029	1283645	GRMZM2G147266	0.495451	0.504549	1155	1210	1119	1132	0	0	4616
10	1287887	1301581	GRMZM2G073840	0.610705	0.381992	4524	2500	2731	3839	100	0	13694
10	1318124	1319779	GRMZM2G173724	0.324471	0.675529	289	559	559	248	0	0	1655
10	1320704	1322615	GRMZM2G173742	0.360544	0.639456	367	613	609	322	0	0	1911
10	1347853	1350591	GRMZM2G078264	0.424397	0.575603	553	784	792	609	0	0	2738
10	1411348	1423183	GRMZM2G048067	0.587664	0.412336	3899	2500	2380	3056	0	0	11835
10	1441528	1447057	GRMZM2G337929	0.605173	0.394827	1900	1081	1102	1446	0	0	5529
10	1498839	1502996	GRMZM2G089565	0.494106	0.505894	1003	1013	1090	1051	0	0	4157
10	1536890	1540897	GRMZM2G098603	0.598952	0.401048	1282	837	770	1118	0	0	4007
10	1542107	1543168	GRMZM2G098596	0.462771	0.537229	196	343	227	295	0	0	1061
10	1546076	1562904	GRMZM2G176546	0.435465	0.564535	3541	4759	4741	3787	0	0	16828
10	1679130	1681891	GRMZM2G430745	0.570083	0.393698	755	458	629	819	100	0	2761
10	1717388	1719196	GRMZM2G430780	0.352323	0.647677	291	632	539	346	0	0	1808
10	1720610	1722778	GRMZM2G129907	0.561347	0.438653	536	468	483	681	0	0	2168
10	1725411	1728062	GRMZM2G129954	0.553376	0.446624	708	553	631	759	0	0	2651
10	1728666	1734853	GRMZM2G130062	0.556651	0.443349	1844	1352	1391	1600	0	0	6187
10	1791758	1792569	GRMZM5G812168	0.434032	0.565968	118	275	184	234	0	0	811
10	1808228	1809039	GRMZM2G124293	0.434032	0.565968	113	277	182	239	0	0	811
10	1879258	1882388	GRMZM2G022606	0.380511	0.619489	671	903	1036	520	0	0	3130
10	1886673	1888996	GRMZM2G317287	0.335342	0.664658	391	812	732	388	0	0	2323
10	1890880	1892400	AC198366	0.270395	0.729605	203	533	576	208	0	0	1520
10	1894282	1897424	GRMZM2G012062	0.497136	0.502864	776	767	813	786	0	0	3142
10	1905200	1908376	GRMZM2G104620	0.521096	0.478904	895	790	731	760	0	0	3176
10	1913330	1914221	GRMZM2G104638	0.325477	0.674523	185	243	358	105	0	0	891
10	1918485	1921002	GRMZM2G104655	0.354390	0.645610	463	856	769	429	0	0	2517
10	1922340	1923823	GRMZM2G104710	0.440998	0.559002	323	418	411	331	0	0	1483
10	1928276	1938172	GRMZM2G104730	0.491310	0.498585	2436	2517	2417	2426	100	0	9896
10	1948804	1950404	GRMZM2G043119	0.462500	0.537500	327	467	393	413	0	0	1600
10	1950507	1959843	GRMZM2G043150	0.483076	0.516924	2392	2555	2271	2118	0	0	9336
10	1983892	1985196	GRMZM2G400999	0.419479	0.580521	291	383	374	256	0	0	1304
10	2008921	2010656	GRMZM2G178734	0.400576	0.599424	332	621	419	363	0	0	1735
10	2011813	2017182	GRMZM5G886363	0.576830	0.423170	1616	1176	1096	1481	0	0	5369
10	2033381	2034247	GRMZM2G180150	0.557737	0.442263	253	193	190	230	0	0	866
10	2039153	2041722	GRMZM2G180155	0.571039	0.428961	694	531	571	773	0	0	2569
10	2044290	2046782	GRMZM2G180166	0.503210	0.496790	637	607	631	617	0	0	2492
10	2046863	2051604	GRMZM2G180205	0.564860	0.435140	1170	1118	945	1508	0	0	4741
10	2052394	2058075	GRMZM2G180244	0.571730	0.428270	1633	1251	1182	1615	0	0	5681
10	2116472	2118536	GRMZM2G180249	0.588178	0.411822	512	429	421	702	0	0	2064
10	2118791	2122725	GRMZM2G180251	0.485003	0.514997	865	973	1053	1043	0	0	3934
10	2127267	2133475	GRMZM2G180254	0.574259	0.425741	1816	1336	1307	1749	0	0	6208
10	2140196	2144012	GRMZM2G180258	0.507338	0.492662	924	928	952	1012	0	0	3816
10	2144459	2145470	GRMZM2G180262	0.353116	0.646884	176	311	343	181	0	0	1011
10	2226007	2230021	GRMZM2G099005	0.550075	0.449925	1052	942	864	1156	0	0	4014
10	2230286	2231616	GRMZM2G099067	0.309774	0.690226	181	526	392	231	0	0	1330
10	2232050	2235959	GRMZM2G099074	0.503965	0.496035	1073	937	1002	897	0	0	3909
10	2252056	2259196	GRMZM2G138659	0.576050	0.423950	1935	1544	1483	2178	0	0	7140
10	2260117	2263934	GRMZM2G437314	0.471575	0.528425	826	1011	1006	974	0	0	3817
10	2405083	2406194	GRMZM2G181546	0.486049	0.513951	282	279	292	258	0	0	1111
10	2435336	2439140	GRMZM2G151903	0.461356	0.538644	854	1055	994	901	0	0	3804
10	2449048	2453306	GRMZM2G151977	0.557069	0.442931	996	939	947	1376	0	0	4258
10	2454332	2457857	GRMZM2G152007	0.568227	0.431773	1006	740	782	997	0	0	3525
10	2458624	2459497	GRMZM2G152016	0.391753	0.608247	163	241	290	179	0	0	873
10	2469594	2470557	AC197146	0.385254	0.614746	205	341	251	166	0	0	963
10	2460935	2466519	GRMZM5G832378	0.573245	0.426755	1393	1182	1201	1808	0	0	5584
10	2482961	2484787	AC197146	0.372946	0.627054	352	520	625	329	0	0	1826
10	2629930	2630887	GRMZM2G172487	0.362591	0.637409	199	326	284	148	0	0	957
10	2635967	2636970	GRMZM2G172575	0.382851	0.617149	220	333	286	164	0	0	1003
10	2639261	2640146	GRMZM2G172586	0.431638	0.568362	222	261	242	160	0	0	885
10	2632774	2633841	GRMZM2G470974	0.447985	0.552015	277	304	285	201	0	0	1067
10	2649737	2651193	GRMZM2G172596	0.418956	0.581044	305	420	426	305	0	0	1456
10	2657169	2665930	GRMZM2G127393	0.550850	0.449150	2698	1999	1936	2128	0	0	8761
10	2653211	2656551	GRMZM2G127416	0.532335	0.467665	829	832	730	949	0	0	3340
10	2659629	2660091	GRMZM2G427014	0.326840	0.673160	87	154	157	64	0	0	462
10	2682267	2684356	GRMZM2G127379	0.432743	0.567257	451	554	631	453	0	0	2089
10	2693388	2697470	GRMZM2G320305	0.536502	0.463498	1180	980	912	1010	0	0	4082
10	2763780	2766291	GRMZM2G431714	0.478694	0.521306	587	685	624	615	0	0	2511
10	2785063	2786390	GRMZM5G822449	0.550113	0.449887	357	290	307	373	0	0	1327
10	2797528	2803098	GRMZM2G036918	0.548833	0.451167	1382	1277	1236	1675	0	0	5570
10	2792432	2795519	GRMZM2G037064	0.582766	0.417234	820	670	618	979	0	0	3087
10	2839956	2842037	AC234175	0.483421	0.516579	457	533	542	549	0	0	2081
10	2845696	2849081	GRMZM5G819919	0.534712	0.465288	931	718	857	879	0	0	3385
10	2987323	2996388	GRMZM2G004412	0.526420	0.473580	2263	2027	2266	2509	0	0	9065
10	3019738	3021113	GRMZM2G088320	0.439273	0.560727	307	407	364	297	0	0	1375
10	3023380	3027927	GRMZM2G536120	0.653398	0.346602	1322	715	861	1649	0	0	4547
10	3061687	3063554	AC198744	0.447777	0.552223	537	502	529	299	0	0	1867
10	3065599	3069725	GRMZM2G068465	0.529084	0.470916	1224	907	1036	959	0	0	4126
10	3064167	3064804	GRMZM2G068745	0.386185	0.613815	119	192	199	127	0	0	637
10	3163434	3169259	GRMZM2G356817	0.572017	0.427983	1570	1229	1264	1762	0	0	5825
10	3169851	3173479	GRMZM2G356839	0.607773	0.392227	1093	737	686	1112	0	0	3628
10	3175442	3177257	GRMZM2G058481	0.326171	0.673829	234	596	627	358	0	0	1815
10	3187671	3191168	GRMZM2G058531	0.403775	0.596225	677	965	1120	735	0	0	3497
10	3193615	3195833	GRMZM2G058595	0.299369	0.655546	346	707	747	318	100	0	2218
10	3192609	3193423	GRMZM5G862857	0.388206	0.611794	141	238	260	175	0	0	814
10	3275774	3281565	GRMZM5G873586	0.525643	0.474357	1394	1534	1213	1650	0	0	5791
10	3283522	3287418	AC152495	0.566992	0.433008	1115	876	811	1094	0	0	3896
10	3299974	3307225	AC152495	0.582678	0.417322	2209	1523	1503	2016	0	0	7251
10	3372153	3376037	AC152495	0.564882	0.435118	1110	888	802	1084	0	0	3884
10	3377384	3378751	AC152495	0.444038	0.555962	289	351	409	318	0	0	1367
10	3385711	3388277	AC152495	0.452065	0.547935	571	732	674	589	0	0	2566
10	3396643	3399692	AC152495	0.488357	0.511643	623	785	775	866	0	0	3049
10	3404104	3405366	AC152495	0.606973	0.393027	389	280	216	377	0	0	1262
10	3441444	3444665	AC152495	0.572803	0.427197	953	724	652	892	0	0	3221
10	3445064	3449747	GRMZM5G879178	0.565877	0.434123	1373	1035	998	1277	0	0	4683
10	3571989	3590705	GRMZM2G069382	0.581428	0.418572	5552	4263	3571	5330	0	0	18716
10	3645994	3648134	GRMZM2G083246	0.575234	0.424766	635	477	432	596	0	0	2140
10	3649252	3650328	GRMZM2G083258	0.578996	0.421004	322	257	196	301	0	0	1076
10	3648410	3648893	GRMZM2G702283	0.501035	0.498965	129	112	129	113	0	0	483
10	3687120	3688769	GRMZM2G143769	0.603396	0.396604	510	368	286	485	0	0	1649
10	3700998	3705984	GRMZM2G443939	0.565784	0.434216	1477	1105	1060	1344	0	0	4986
10	3706768	3710818	GRMZM5G802403	0.593333	0.406667	1114	853	794	1289	0	0	4050
10	3717119	3719428	GRMZM2G097078	0.608489	0.391511	662	495	409	743	0	0	2309
10	3767327	3769921	GRMZM2G349565	0.586739	0.413261	793	544	528	729	0	0	2594
10	3849432	3854133	GRMZM2G003625	0.567752	0.432248	1381	1030	1002	1288	0	0	4701
10	3907356	3911654	GRMZM2G061742	0.559795	0.440205	1241	944	948	1165	0	0	4298
10	3983697	3989917	GRMZM2G005134	0.569132	0.430868	1853	1331	1349	1687	0	0	6220
10	3995049	3997306	GRMZM2G005207	0.481613	0.518387	509	591	579	578	0	0	2257
10	3990348	3993117	GRMZM2G304965	0.476706	0.523294	628	640	809	692	0	0	2769
10	4018762	4022972	GRMZM2G473138	0.609026	0.390974	1295	907	739	1269	0	0	4210
10	4027157	4027750	GRMZM2G441029	0.305228	0.694772	82	224	188	99	0	0	593
10	4035457	4036996	GRMZM2G441031	0.565302	0.434698	456	325	344	414	0	0	1539
10	4056212	4062897	GRMZM2G088313	0.580254	0.419746	1810	1397	1409	2069	0	0	6685
10	4067805	4073873	GRMZM2G129775	0.544990	0.455010	1593	1371	1390	1714	0	0	6068
10	4064251	4065193	GRMZM2G387731	0.597665	0.402335	274	181	198	289	0	0	942
10	4074285	4076891	GRMZM2G129804	0.563699	0.436301	792	527	610	677	0	0	2606
10	4101519	4102166	GRMZM2G467576	0.298300	0.701700	94	216	238	99	0	0	647
10	4161243	4165104	GRMZM2G101928	0.568506	0.431494	1200	825	841	995	0	0	3861
10	4168396	4169547	GRMZM2G101958	0.437880	0.562120	252	282	365	252	0	0	1151
10	4237956	4238513	GRMZM2G093997	0.536804	0.463196	132	141	117	167	0	0	557
10	4244034	4246140	GRMZM5G886547	0.529915	0.470085	611	447	543	505	0	0	2106
10	4246279	4247509	GRMZM5G898755	0.450406	0.549594	302	322	354	252	0	0	1230
10	4265842	4266478	GRMZM2G387760	0.352201	0.647799	130	237	175	94	0	0	636
10	4288914	4289530	GRMZM2G702437	0.662338	0.337662	206	108	100	202	0	0	616
10	4292079	4292875	GRMZM2G059582	0.413317	0.586683	189	170	297	140	0	0	796
